query id	subject id	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score	COG#	functional categories					COG protein description
ACM48955.1	gnl|CDD|224100	37.069	116	72	1	21	135	20	135	1.21e-26	101	43	COG1179	H					Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 1
ACM48955.1	gnl|CDD|224662	23.009	113	63	3	33	145	3	91	5.69e-07	46.9	42	COG1748	E					Saccharopine dehydrogenase and related proteins
ACM48956.1	gnl|CDD|226163	18.987	158	107	4	109	258	46	190	4.43e-04	37.4	53	COG3637	M					Opacity protein and related surface antigens
ACM48957.1	gnl|CDD|223751	25.240	313	219	5	9	311	1	308	5.29e-17	76.9	97	COG0679	R					Predicted permeases
ACM48959.1	gnl|CDD|224636	40.000	65	39	0	1	65	4	68	6.45e-14	57.3	97	COG1722	L					Exonuclease VII small subunit
ACM48960.1	gnl|CDD|225660	37.168	113	68	2	2	111	19	131	4.00e-26	95.9	96	COG3118	O					Thioredoxin domain-containing protein
ACM48960.1	gnl|CDD|223600	41.758	91	47	3	26	110	34	124	4.53e-21	78.8	74	COG0526	O	C				Thiol-disulfide isomerase and thioredoxins
ACM48961.1	gnl|CDD|226035	31.325	249	148	6	9	257	14	239	9.83e-43	144	92	COG3504	U					Type IV secretory pathway, VirB9 components
ACM48962.1	gnl|CDD|223997	46.547	333	173	5	43	371	11	342	2.56e-152	430	88	COG1071	C					Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, alpha subunit
ACM48962.1	gnl|CDD|226468	26.549	113	77	2	164	275	122	229	3.97e-08	50.8	30	COG3959	G					Transketolase, N-terminal subunit
ACM48962.1	gnl|CDD|223641	21.739	207	127	9	173	357	305	498	1.23e-04	41.1	50	COG0567	C					2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes
ACM48963.1	gnl|CDD|223669	20.295	271	194	8	35	293	1	261	6.77e-17	76.6	83	COG0596	R					Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)
ACM48963.1	gnl|CDD|224561	20.946	148	100	7	53	190	13	153	3.21e-07	47.7	44	COG1647	R					Esterase/lipase
ACM48964.1	gnl|CDD|223590	30.734	218	103	11	259	476	1	170	7.48e-45	152	61	COG0516	F					IMP dehydrogenase/GMP reductase
ACM48964.1	gnl|CDD|223590	44.578	83	46	0	10	92	15	97	4.92e-24	95.8	61	COG0516	F					IMP dehydrogenase/GMP reductase
ACM48964.1	gnl|CDD|223591	36.283	113	63	5	96	202	7	116	4.40e-21	85.6	22	COG0517	R					FOG: CBS domain
ACM48964.1	gnl|CDD|225321	36.667	120	67	4	86	202	173	286	4.23e-17	78.9	24	COG2524	K					Predicted transcriptional regulator, contains C-terminal CBS domains
ACM48964.1	gnl|CDD|225457	31.579	114	70	5	94	202	155	265	1.96e-11	63.2	22	COG2905	T					Predicted signal-transduction protein containing cAMP-binding and CBS domains
ACM48964.1	gnl|CDD|226147	30.508	118	70	6	96	207	73	184	7.46e-11	58.2	23	COG3620	K					Predicted transcriptional regulator with C-terminal CBS domains
ACM48964.1	gnl|CDD|224981	28.169	142	88	6	234	373	94	223	1.42e-10	59.6	28	COG2070	R					Dioxygenases related to 2-nitropropane dioxygenase
ACM48964.1	gnl|CDD|225148	27.350	117	79	4	90	202	134	248	5.35e-09	55.0	23	COG2239	P					Mg/Co/Ni transporter MgtE (contains CBS domain)
ACM48964.1	gnl|CDD|224173	22.857	105	80	1	99	202	219	323	5.74e-09	55.0	21	COG1253	R					Hemolysins and related proteins containing CBS domains
ACM48964.1	gnl|CDD|225979	28.947	114	69	3	99	202	256	367	3.77e-08	52.1	35	COG3448	T					CBS-domain-containing membrane protein
ACM48964.1	gnl|CDD|225979	24.638	138	78	5	152	273	248	375	1.47e-07	50.6	35	COG3448	T					CBS-domain-containing membrane protein
ACM48964.1	gnl|CDD|224223	33.333	90	49	4	283	363	215	302	2.24e-07	49.6	16	COG1304	C					L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases
ACM48964.1	gnl|CDD|223147	25.424	118	73	4	261	366	292	406	1.01e-06	48.0	22	COG0069	E					Glutamate synthase domain 2
ACM48964.1	gnl|CDD|226594	24.096	166	104	6	40	202	155	301	5.75e-06	45.4	33	COG4109	K					Predicted transcriptional regulator containing CBS domains
ACM48964.1	gnl|CDD|226910	28.571	112	71	5	96	202	77	184	2.26e-05	43.1	22	COG4535	P					Putative Mg2+ and Co2+ transporter CorC
ACM48964.1	gnl|CDD|225555	28.986	138	77	8	233	364	88	210	8.67e-05	41.1	27	COG3010	G					Putative N-acetylmannosamine-6-phosphate epimerase
ACM48964.1	gnl|CDD|223245	27.957	93	53	3	286	364	179	271	0.001	38.0	16	COG0167	F					Dihydroorotate dehydrogenase
ACM48965.1	gnl|CDD|223139	28.571	245	158	7	33	271	42	275	7.83e-54	173	88	COG0061	G					Predicted sugar kinase
ACM48966.1	gnl|CDD|223332	25.333	75	49	3	27	99	1	70	1.27e-09	47.3	74	COG0254	J					Ribosomal protein L31
ACM48967.1	gnl|CDD|223408	41.042	307	178	2	16	322	3	306	1.70e-106	311	91	COG0331	I					(acyl-carrier-protein) S-malonyltransferase
ACM48967.1	gnl|CDD|225858	31.000	300	193	5	10	305	520	809	3.16e-37	139	87	COG3321	Q					Polyketide synthase modules and related proteins
ACM48968.1	gnl|CDD|223203	40.094	212	114	5	1	206	4	208	8.48e-62	189	98	COG0125	F					Thymidylate kinase
ACM48969.1	gnl|CDD|225371	18.692	321	242	10	48	358	38	349	1.22e-05	44.1	74	COG2814	G					Arabinose efflux permease
ACM48969.1	gnl|CDD|225180	18.939	396	265	16	26	378	32	414	0.007	35.3	84	COG2271	G					Sugar phosphate permease
ACM48970.1	gnl|CDD|226830	23.554	242	158	5	1	219	42	279	4.53e-25	96.4	100	COG4395	S					Uncharacterized protein conserved in bacteria
ACM48971.1	gnl|CDD|224863	37.671	146	78	3	13	158	11	143	3.24e-41	133	83	COG1952	U					Preprotein translocase subunit SecB
ACM48972.1	gnl|CDD|224565	28.902	173	111	5	86	252	76	242	8.13e-23	91.1	61	COG1651	O					Protein-disulfide isomerase
ACM48972.1	gnl|CDD|224383	19.101	89	64	5	173	258	109	192	0.008	34.3	32	COG1466	L					DNA polymerase III, delta subunit
ACM48973.1	gnl|CDD|223685	36.986	438	261	7	5	429	3	438	4.31e-101	305	97	COG0612	R					Predicted Zn-dependent peptidases
ACM48973.1	gnl|CDD|223956	26.549	226	150	7	48	259	52	275	1.98e-14	72.4	49	COG1025	O					Secreted/periplasmic Zn-dependent peptidases, insulinase-like
ACM48973.1	gnl|CDD|223957	22.442	303	186	14	27	292	29	319	1.45e-07	50.8	61	COG1026	R					Predicted Zn-dependent peptidases, insulinase-like
ACM48974.1	gnl|CDD|223810	48.993	149	70	4	260	406	117	261	1.45e-43	151	33	COG0739	M					Membrane proteins related to metalloendopeptidases
ACM48974.1	gnl|CDD|227278	31.034	116	74	2	288	403	306	415	9.74e-16	75.9	26	COG4942	D					Membrane-bound metallopeptidase
ACM48975.1	gnl|CDD|224981	27.869	122	74	5	188	309	158	265	1.01e-10	60.0	26	COG2070	R					Dioxygenases related to 2-nitropropane dioxygenase
ACM48976.1	gnl|CDD|223384	39.614	207	116	4	1	204	1	201	1.27e-66	200	99	COG0307	H					Riboflavin synthase alpha chain
ACM48976.1	gnl|CDD|226951	21.687	83	36	3	21	89	298	365	0.007	33.6	34	COG4585	T					Signal transduction histidine kinase
ACM48979.1	gnl|CDD|224118	37.037	1134	683	19	36	1150	13	1134	0.0	1021	97	COG1197	L	K				Transcription-repair coupling factor (superfamily II helicase)
ACM48979.1	gnl|CDD|224121	33.820	411	250	10	604	1000	255	657	6.81e-97	320	34	COG1200	L	K				RecG-like helicase
ACM48979.1	gnl|CDD|223587	23.148	432	252	23	550	945	5	392	5.81e-15	76.0	34	COG0513	L	K	J			Superfamily II DNA and RNA helicases
ACM48979.1	gnl|CDD|223989	19.071	409	244	15	616	964	41	422	1.30e-13	71.3	30	COG1061	K	L				DNA or RNA helicases of superfamily II
ACM48979.1	gnl|CDD|223630	32.692	104	64	4	148	248	158	258	3.40e-13	70.7	9	COG0556	L					Helicase subunit of the DNA excision repair complex
ACM48979.1	gnl|CDD|226583	23.708	329	202	16	613	918	99	401	2.43e-11	64.4	27	COG4098	L					Superfamily II DNA/RNA helicase required for DNA uptake (late competence protein)
ACM48979.1	gnl|CDD|224119	21.230	504	260	19	563	944	125	613	4.51e-10	60.8	33	COG1198	L					Primosomal protein N' (replication factor Y) - superfamily II helicase
ACM48979.1	gnl|CDD|224035	30.841	107	64	4	642	741	107	210	4.59e-08	54.3	9	COG1110	L					Reverse gyrase
ACM48979.1	gnl|CDD|224036	32.353	68	44	2	864	931	416	481	5.51e-05	44.3	6	COG1111	L					ERCC4-like helicases
ACM48979.1	gnl|CDD|224248	25.157	159	100	6	493	632	7	165	7.02e-04	38.9	12	COG1329	K					Transcriptional regulators, similar to M. xanthus CarD
ACM48980.1	gnl|CDD|223405	57.432	148	59	3	24	168	2	148	1.63e-61	184	85	COG0328	L					Ribonuclease HI
ACM48982.1	gnl|CDD|223602	52.340	235	110	2	61	293	4	238	4.54e-114	326	80	COG0528	F					Uridylate kinase
ACM48982.1	gnl|CDD|223601	27.564	156	87	7	138	269	121	274	1.39e-06	46.1	45	COG0527	E					Aspartokinases
ACM48982.1	gnl|CDD|224524	21.138	246	152	9	78	292	17	251	6.09e-04	37.3	73	COG1608	R					Predicted archaeal kinase
ACM48983.1	gnl|CDD|223311	46.448	183	97	1	1	182	3	185	5.04e-68	202	99	COG0233	J					Ribosome recycling factor
ACM48984.1	gnl|CDD|223099	46.552	232	116	2	11	236	15	244	1.49e-101	292	96	COG0020	I					Undecaprenyl pyrophosphate synthase
ACM48985.1	gnl|CDD|223648	28.346	254	124	3	82	277	1	254	2.48e-39	135	67	COG0575	I					CDP-diglyceride synthetase
ACM48985.1	gnl|CDD|226955	38.462	156	89	3	137	287	147	300	9.36e-26	100	51	COG4589	R					Predicted CDP-diglyceride synthetase/phosphatidate cytidylyltransferase
ACM48988.1	gnl|CDD|223230	49.160	238	118	2	2	238	1	236	1.52e-103	297	98	COG0152	F					Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase
ACM48989.1	gnl|CDD|223202	45.327	428	216	6	5	415	3	429	2.18e-161	458	96	COG0124	J					Histidyl-tRNA synthetase
ACM48989.1	gnl|CDD|226228	27.970	404	252	13	5	387	2	387	7.36e-40	144	89	COG3705	E					ATP phosphoribosyltransferase involved in histidine biosynthesis
ACM48989.1	gnl|CDD|223518	30.588	85	55	2	324	406	490	572	2.45e-05	43.4	19	COG0441	J					Threonyl-tRNA synthetase
ACM48989.1	gnl|CDD|223519	34.328	67	38	3	65	125	90	156	0.004	36.1	14	COG0442	J					Prolyl-tRNA synthetase
ACM48990.1	gnl|CDD|224565	24.597	248	172	5	1	242	4	242	5.20e-29	107	96	COG1651	O					Protein-disulfide isomerase
ACM48990.1	gnl|CDD|223600	18.889	90	73	0	59	148	1	90	2.14e-05	40.3	36	COG0526	O	C				Thiol-disulfide isomerase and thioredoxins
ACM48990.1	gnl|CDD|226062	26.087	92	63	3	135	221	89	180	3.21e-05	40.9	35	COG3531	O					Predicted protein-disulfide isomerase
ACM48991.1	gnl|CDD|224528	33.134	335	194	5	7	332	6	319	1.34e-46	157	96	COG1612	O					Uncharacterized protein required for cytochrome oxidase assembly
ACM48991.1	gnl|CDD|227858	27.000	100	61	3	151	241	44	140	0.009	34.0	27	COG5571	N					Autotransporter protein or domain, integral membrane beta-barrel involved in protein secretion
ACM48992.1	gnl|CDD|223490	54.264	258	115	3	8	262	8	265	2.20e-130	367	92	COG0413	H					Ketopantoate hydroxymethyltransferase
ACM48993.1	gnl|CDD|226617	39.109	202	117	4	7	204	2	201	5.77e-58	179	93	COG4133	O					ABC-type transport system involved in cytochrome c biogenesis, ATPase component
ACM48993.1	gnl|CDD|224054	29.787	188	125	3	7	187	4	191	1.13e-44	147	85	COG1131	V					ABC-type multidrug transport system, ATPase component
ACM48993.1	gnl|CDD|224045	30.570	193	123	4	7	188	2	194	3.85e-34	119	85	COG1120	P	H				ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
ACM48993.1	gnl|CDD|224047	29.524	210	133	9	7	202	3	211	6.49e-33	115	92	COG1122	P					ABC-type cobalt transport system, ATPase component
ACM48993.1	gnl|CDD|224046	28.718	195	127	3	7	190	4	197	1.57e-30	110	86	COG1121	P					ABC-type Mn/Zn transport systems, ATPase component
ACM48993.1	gnl|CDD|223487	31.250	192	118	4	7	187	3	191	1.65e-30	109	85	COG0410	E					ABC-type branched-chain amino acid transport systems, ATPase component
ACM48993.1	gnl|CDD|224052	29.612	206	128	6	7	197	8	211	6.54e-28	103	89	COG1127	Q					ABC-type transport system involved in resistance to organic solvents, ATPase component
ACM48993.1	gnl|CDD|226631	28.042	189	129	2	7	190	2	188	4.68e-27	102	86	COG4152	R					ABC-type uncharacterized transport system, ATPase component
ACM48993.1	gnl|CDD|226927	30.000	200	115	5	7	190	1	191	9.75e-27	100	86	COG4555	C	P				ABC-type Na+ transport system, ATPase component
ACM48993.1	gnl|CDD|227321	26.316	190	124	6	18	195	333	518	1.24e-26	103	83	COG4988	C	O				ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components
ACM48993.1	gnl|CDD|224060	29.648	199	120	7	7	190	4	197	4.93e-26	98.0	86	COG1137	R					ABC-type (unclassified) transport system, ATPase component
ACM48993.1	gnl|CDD|226359	34.545	165	101	4	7	165	3	166	4.47e-25	97.3	74	COG3839	G					ABC-type sugar transport systems, ATPase components
ACM48993.1	gnl|CDD|224049	29.231	195	123	7	7	187	3	196	1.15e-24	94.6	85	COG1124	E	P				ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
ACM48993.1	gnl|CDD|225183	28.571	210	132	7	8	202	472	678	1.19e-23	95.4	91	COG2274	V					ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain
ACM48993.1	gnl|CDD|223562	28.947	190	119	7	4	190	318	494	6.38e-23	93.1	87	COG0488	R					ATPase components of ABC transporters with duplicated ATPase domains
ACM48993.1	gnl|CDD|223562	24.272	206	127	6	7	186	3	205	7.92e-21	86.9	87	COG0488	R					ATPase components of ABC transporters with duplicated ATPase domains
ACM48993.1	gnl|CDD|224041	30.000	190	124	3	7	190	3	189	9.18e-23	89.5	86	COG1116	P					ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
ACM48993.1	gnl|CDD|224050	30.653	199	118	8	7	190	1	194	1.10e-22	90.4	86	COG1125	E					ABC-type proline/glycine betaine transport systems, ATPase components
ACM48993.1	gnl|CDD|226361	33.696	184	116	1	7	184	5	188	7.94e-22	88.9	83	COG3842	E					ABC-type spermidine/putrescine transport systems, ATPase components
ACM48993.1	gnl|CDD|224059	29.353	201	125	5	7	190	1	201	1.06e-21	86.0	86	COG1136	V					ABC-type antimicrobial peptide transport system, ATPase component
ACM48993.1	gnl|CDD|226970	29.545	176	117	4	7	176	3	177	2.89e-21	84.9	79	COG4619	R					ABC-type uncharacterized transport system, ATPase component
ACM48993.1	gnl|CDD|226164	24.171	211	121	6	7	188	3	203	5.61e-21	85.0	85	COG3638	P					ABC-type phosphate/phosphonate transport system, ATPase component
ACM48993.1	gnl|CDD|224044	28.108	185	116	5	7	175	31	214	1.21e-20	83.9	79	COG1119	P					ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
ACM48993.1	gnl|CDD|226360	28.718	195	118	4	32	208	24	215	2.08e-20	82.8	83	COG3840	H					ABC-type thiamine transport system, ATPase component
ACM48993.1	gnl|CDD|223488	29.630	189	101	5	25	187	22	204	4.24e-20	82.6	76	COG0411	E					ABC-type branched-chain amino acid transport systems, ATPase component
ACM48993.1	gnl|CDD|226643	32.237	152	92	2	25	165	46	197	7.32e-20	83.6	66	COG4175	E					ABC-type proline/glycine betaine transport system, ATPase component
ACM48993.1	gnl|CDD|224043	24.464	233	147	6	6	213	1	229	1.22e-19	82.8	97	COG1118	P					ABC-type sulfate/molybdate transport systems, ATPase component
ACM48993.1	gnl|CDD|226929	25.500	200	132	5	7	189	1	200	1.26e-19	81.2	86	COG4559	P					ABC-type hemin transport system, ATPase component
ACM48993.1	gnl|CDD|224051	30.244	205	110	8	7	190	2	194	1.48e-19	80.6	86	COG1126	E					ABC-type polar amino acid transport system, ATPase component
ACM48993.1	gnl|CDD|224055	27.895	190	123	5	12	188	333	521	1.78e-19	83.2	83	COG1132	V					ABC-type multidrug transport system, ATPase and permease components
ACM48993.1	gnl|CDD|226969	30.303	198	101	9	18	191	347	531	1.85e-19	83.1	81	COG4618	R					ABC-type protease/lipase transport system, ATPase and permease components
ACM48993.1	gnl|CDD|224048	30.055	183	103	4	24	187	308	484	7.05e-19	81.5	87	COG1123	R					ATPase components of various ABC-type transport systems, contain duplicated ATPase
ACM48993.1	gnl|CDD|224048	24.651	215	129	9	5	190	3	213	1.57e-10	56.8	87	COG1123	R					ATPase components of various ABC-type transport systems, contain duplicated ATPase
ACM48993.1	gnl|CDD|226963	27.136	199	131	6	7	193	1	197	8.82e-19	78.9	87	COG4604	P					ABC-type enterochelin transport system, ATPase component
ACM48993.1	gnl|CDD|226620	24.762	210	144	5	7	205	2	208	2.46e-18	77.2	93	COG4136	R					ABC-type uncharacterized transport system, ATPase component
ACM48993.1	gnl|CDD|226628	28.276	145	97	2	26	164	17	160	2.20e-17	76.2	65	COG4148	P					ABC-type molybdate transport system, ATPase component
ACM48993.1	gnl|CDD|226905	27.746	173	117	2	20	187	18	187	2.67e-17	75.2	79	COG4525	P					ABC-type taurine transport system, ATPase component
ACM48993.1	gnl|CDD|227320	27.027	185	119	5	19	190	350	531	2.68e-16	73.9	80	COG4987	C	O				ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components
ACM48993.1	gnl|CDD|226967	29.114	158	71	5	25	176	31	153	4.78e-16	71.9	71	COG4608	E					ABC-type oligopeptide transport system, ATPase component
ACM48993.1	gnl|CDD|226637	25.287	174	115	5	24	184	30	201	5.17e-16	71.8	75	COG4167	V					ABC-type antimicrobial peptide transport system, ATPase component
ACM48993.1	gnl|CDD|224058	28.500	200	120	4	7	187	1	196	5.31e-16	72.3	85	COG1135	P					ABC-type metal ion transport system, ATPase component
ACM48993.1	gnl|CDD|225438	25.962	208	123	6	7	193	1	198	8.45e-16	70.3	87	COG2884	D					Predicted ATPase involved in cell division
ACM48993.1	gnl|CDD|224057	23.464	179	110	6	23	190	43	205	1.20e-15	70.3	79	COG1134	G	M				ABC-type polysaccharide/polyol phosphate transport system, ATPase component
ACM48993.1	gnl|CDD|226622	24.873	197	134	7	6	193	2	193	3.60e-15	69.1	88	COG4138	H					ABC-type cobalamin transport system, ATPase component
ACM48993.1	gnl|CDD|226961	27.941	204	126	5	8	190	7	210	7.02e-15	68.2	86	COG4598	E					ABC-type histidine transport system, ATPase component
ACM48993.1	gnl|CDD|224053	27.473	182	115	5	23	187	275	456	1.57e-13	65.6	77	COG1129	G					ABC-type sugar transport system, ATPase component
ACM48993.1	gnl|CDD|226647	29.121	182	109	4	25	190	28	205	3.30e-13	63.2	78	COG4181	Q					Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component
ACM48993.1	gnl|CDD|227019	25.405	185	116	5	25	190	23	204	1.43e-12	62.0	78	COG4674	R					Uncharacterized ABC-type transport system, ATPase component
ACM48993.1	gnl|CDD|226952	27.419	186	113	6	25	195	42	220	2.07e-12	62.0	80	COG4586	R					ABC-type uncharacterized transport system, ATPase component
ACM48993.1	gnl|CDD|223473	26.271	236	120	11	7	202	3	224	2.48e-12	61.1	92	COG0396	O					ABC-type transport system involved in Fe-S cluster assembly, ATPase component
ACM48993.1	gnl|CDD|224026	28.000	175	84	8	29	174	29	190	3.65e-12	60.8	68	COG1101	R					ABC-type uncharacterized transport system, ATPase component
ACM48993.1	gnl|CDD|226641	29.032	155	94	6	25	164	305	458	6.70e-12	60.8	65	COG4172	R					ABC-type uncharacterized transport system, duplicated ATPase component
ACM48993.1	gnl|CDD|224166	22.807	171	100	7	31	190	365	514	1.90e-11	59.6	76	COG1245	R					Predicted ATPase, RNase L inhibitor (RLI) homolog
ACM48993.1	gnl|CDD|224166	24.731	186	106	7	29	190	96	271	1.37e-06	45.4	76	COG1245	R					Predicted ATPase, RNase L inhibitor (RLI) homolog
ACM48993.1	gnl|CDD|225265	26.368	201	119	8	17	201	393	580	4.25e-11	58.7	86	COG2401	R					ABC-type ATPase fused to a predicted acetyltransferase domain
ACM48993.1	gnl|CDD|226646	20.976	205	116	8	3	185	388	568	1.07e-10	57.3	86	COG4178	R					ABC-type uncharacterized transport system, permease and ATPase components
ACM48993.1	gnl|CDD|226364	24.402	209	129	6	4	187	254	458	1.82e-10	56.8	88	COG3845	R					ABC-type uncharacterized transport systems, ATPase components
ACM48993.1	gnl|CDD|226364	26.203	187	109	4	25	191	22	199	6.16e-10	55.2	88	COG3845	R					ABC-type uncharacterized transport systems, ATPase components
ACM48993.1	gnl|CDD|224042	25.238	210	112	8	8	186	8	203	5.40e-10	54.5	84	COG1117	P					ABC-type phosphate transport system, ATPase component
ACM48993.1	gnl|CDD|226635	27.000	200	118	6	13	191	8	200	1.52e-09	53.3	84	COG4161	E					ABC-type arginine transport system, ATPase component
ACM48993.1	gnl|CDD|223521	37.037	54	29	1	24	72	22	75	1.65e-08	50.7	23	COG0444	E	P				ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
ACM48993.1	gnl|CDD|227590	25.397	189	113	9	18	186	274	454	3.79e-08	49.7	79	COG5265	O					ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components
ACM48993.1	gnl|CDD|226592	26.486	185	112	7	2	164	1	183	1.18e-07	47.8	76	COG4107	P					ABC-type phosphonate transport system, ATPase component
ACM48993.1	gnl|CDD|226968	28.205	156	80	6	25	165	343	481	1.60e-07	47.9	66	COG4615	Q	P				ABC-type siderophore export system, fused ATPase and permease components
ACM48993.1	gnl|CDD|227118	24.479	192	116	8	18	186	21	206	2.21e-06	44.0	79	COG4778	P					ABC-type phosphonate transport system, ATPase component
ACM48993.1	gnl|CDD|226425	52.941	34	13	1	20	53	27	57	1.18e-04	39.0	16	COG3910	R					Predicted ATPase
ACM48993.1	gnl|CDD|226459	34.615	52	33	1	23	73	14	65	1.39e-04	39.1	24	COG3950	R					Predicted ATP-binding protein involved in virulence
ACM48993.1	gnl|CDD|223496	37.931	29	17	1	23	50	14	42	1.79e-04	39.0	37	COG0419	L					ATPase involved in DNA repair
ACM48993.1	gnl|CDD|223496	30.189	53	35	1	140	190	829	881	0.002	35.5	37	COG0419	L					ATPase involved in DNA repair
ACM48994.1	gnl|CDD|223837	48.227	423	212	2	6	428	4	419	0.0	513	99	COG0766	M					UDP-N-acetylglucosamine enolpyruvyl transferase
ACM48994.1	gnl|CDD|223206	24.645	422	258	20	14	402	12	406	4.16e-15	73.8	96	COG0128	E					5-enolpyruvylshikimate-3-phosphate synthase
ACM48994.1	gnl|CDD|223206	21.852	270	174	14	180	425	29	285	4.52e-06	45.7	96	COG0128	E					5-enolpyruvylshikimate-3-phosphate synthase
ACM48995.1	gnl|CDD|223789	34.783	184	108	3	4	182	3	179	2.98e-66	198	97	COG0717	F					Deoxycytidine deaminase
ACM48996.1	gnl|CDD|223528	19.935	306	193	11	11	271	8	306	1.29e-11	61.1	93	COG0451	M	G				Nucleoside-diphosphate-sugar epimerases
ACM48996.1	gnl|CDD|224016	23.448	145	90	7	138	271	144	278	0.004	35.0	48	COG1091	M					dTDP-4-dehydrorhamnose reductase
ACM48997.1	gnl|CDD|224197	39.744	78	34	1	13	90	3	67	2.93e-19	71.4	85	COG1278	K					Cold shock proteins
ACM48998.1	gnl|CDD|227333	33.435	658	397	16	67	689	61	712	1.35e-127	391	90	COG5000	T					Signal transduction histidine kinase involved in nitrogen fixation and metabolism regulation
ACM48998.1	gnl|CDD|226370	28.213	319	170	14	387	671	47	340	2.18e-33	129	41	COG3852	T					Signal transduction histidine kinase, nitrogen specific
ACM48998.1	gnl|CDD|223715	25.600	250	162	8	445	685	93	327	2.37e-33	128	35	COG0642	T					Signal transduction histidine kinase
ACM48998.1	gnl|CDD|226654	25.758	264	165	7	429	679	349	594	2.40e-27	114	36	COG4191	T					Signal transduction histidine kinase regulating C4-dicarboxylate transport system
ACM48998.1	gnl|CDD|227335	24.368	435	263	21	285	685	44	446	3.33e-22	97.1	58	COG5002	T					Signal transduction histidine kinase
ACM48998.1	gnl|CDD|226655	23.629	237	166	6	458	688	442	669	9.48e-16	78.0	33	COG4192	T					Signal transduction histidine kinase regulating phosphoglycerate transport system
ACM48998.1	gnl|CDD|225115	24.219	256	135	8	459	686	652	876	9.92e-16	78.1	33	COG2205	T					Osmosensitive K+ channel histidine kinase
ACM48998.1	gnl|CDD|226702	23.629	237	146	11	462	683	519	735	1.70e-15	77.5	32	COG4251	T					Bacteriophytochrome (light-regulated signal transduction histidine kinase)
ACM48998.1	gnl|CDD|225827	22.663	353	227	17	346	680	201	525	7.73e-13	68.5	48	COG3290	T					Signal transduction histidine kinase regulating citrate/malate metabolism
ACM48998.1	gnl|CDD|226368	20.299	468	236	26	291	688	171	571	7.66e-09	55.8	57	COG3850	T					Signal transduction histidine kinase, nitrate/nitrite-specific
ACM48998.1	gnl|CDD|225519	19.910	221	138	11	476	689	268	456	1.69e-06	47.8	31	COG2972	T					Predicted signal transduction protein with a C-terminal ATPase domain
ACM48998.1	gnl|CDD|223910	17.188	128	103	1	248	375	37	161	2.89e-05	43.8	18	COG0840	N	T				Methyl-accepting chemotaxis protein
ACM48998.1	gnl|CDD|225814	24.306	144	84	6	548	688	432	553	0.002	38.1	20	COG3275	T					Putative regulator of cell autolysis
ACM48998.1	gnl|CDD|225083	22.826	92	60	4	600	688	58	141	0.004	35.4	13	COG2172	T					Anti-sigma regulatory factor (Ser/Thr protein kinase)
ACM48999.1	gnl|CDD|223426	33.065	372	223	12	7	363	1	361	6.53e-64	205	92	COG0349	J					Ribonuclease D
ACM48999.1	gnl|CDD|223820	21.667	180	125	6	23	191	20	194	2.41e-08	52.7	44	COG0749	L					DNA polymerase I - 3'-5' exonuclease and polymerase domains
ACM49000.1	gnl|CDD|223350	45.508	679	342	10	3	669	5	667	0.0	798	99	COG0272	L					NAD-dependent DNA ligase (contains BRCT domain type II)
ACM49000.1	gnl|CDD|227600	37.179	78	48	1	594	670	154	231	7.56e-14	69.4	11	COG5275	R					BRCT domain type II
ACM49000.1	gnl|CDD|225893	22.078	77	57	1	362	438	23	96	1.27e-04	38.6	11	COG3357	K					Predicted transcriptional regulator containing an HTH domain fused to a Zn-ribbon
ACM49001.1	gnl|CDD|223355	58.095	105	43	1	3	106	1	105	1.87e-57	170	95	COG0278	O					Glutaredoxin-related protein
ACM49001.1	gnl|CDD|223767	28.571	84	53	3	17	98	1	79	5.45e-06	38.4	75	COG0695	O					Glutaredoxin and related proteins
ACM49002.1	gnl|CDD|223349	35.802	81	41	2	1	70	1	81	1.62e-17	67.0	90	COG0271	T					Stress-induced morphogen (activity unknown)
ACM49002.1	gnl|CDD|227340	38.806	67	34	2	8	70	6	69	3.70e-13	55.8	81	COG5007	K					Predicted transcriptional regulator, BolA superfamily
ACM49003.1	gnl|CDD|223600	16.667	90	72	2	56	142	35	124	4.85e-07	43.7	54	COG0526	O	C				Thiol-disulfide isomerase and thioredoxins
ACM49004.1	gnl|CDD|223993	49.220	449	219	4	9	451	4	449	0.0	570	97	COG1066	O					Predicted ATP-dependent serine protease
